create files,create processes,create threads,demand-paging,gups,launch programs,mem alloc,mprotect
27.400004,61.929226,42.989254,3184.0,34.0359,195.519924,110.704899,4736.0
28.47992,56.14996,45.731068,3343.0,34.687,198.9007,110.942125,4731.0
27.148427,63.481331,43.029785,3335.0,34.5113,198.550224,110.828876,4851.0
27.841108,55.918694,47.061443,3318.0,34.5513,198.559761,110.617161,4727.0
28.895641,61.66935,45.621395,3267.0,34.38,199.317932,110.943079,4719.0
27.702093,61.128139,45.32814,3321.0,34.7069,200.190544,110.800982,4717.0
33.177266,60.489178,47.829151,3322.0,34.4039,200.381279,110.306978,4735.0
29.964905,60.508251,47.299862,3334.0,34.4075,201.730728,110.390902,4586.0
28.573212,60.498714,46.470165,3319.0,34.5961,200.281143,110.420942,4752.0
29.551971,66.349506,45.208931,3175.0,34.4814,199.289322,110.275984,4726.0
